tripid,bikeid,starttime,stoptime,tripduration,O_id,O_name,O_lat,O_lon,D_id,D_name,D_lat,D_lon,usertype,gender,birth
0,2744,21,474,453.0,118,Sedgwick St & North Ave,41.911386,-87.638677,180,Ritchie Ct & Banks St,41.906866,-87.626217,Subscriber,Male,1992
1,3259,34,1232,"1,198.0",115,Sheffield Ave & Wellington Ave,41.936266,-87.652662,220,Clark St & Drummond Pl,41.931248,-87.644336,Subscriber,Male,1992
2,2149,52,274,222.0,522,Bosworth Ave & Howard St,42.019537,-87.669563,520,Greenview Ave & Jarvis Ave,42.015962,-87.66857,Subscriber,Male,1965
3,6254,77,428,351.0,181,LaSalle St & Illinois St,41.890762,-87.631697,84,Milwaukee Ave & Grand Ave,41.891578,-87.648384,Subscriber,Male,1963
4,2586,107,1816,"1,709.0",232,Pine Grove Ave & Waveland Ave,41.949275,-87.646303,304,Broadway & Waveland Ave,41.949074,-87.648636,Customer,,
5,6247,115,510,395.0,509,Troy St & North Ave,41.909769302,-87.705280487,622,California Ave & Cortez St,41.900363,-87.696704,Customer,,
6,5473,140,559,419.0,226,Racine Ave & Belmont Ave,41.939743,-87.658865,156,Clark St & Wellington Ave,41.936496822,-87.647538658,Customer,Male,1992
7,5362,153,321,168.0,349,Halsted St & Wrightwood Ave,41.929143,-87.649077,340,Clark St & Wrightwood Ave,41.929546,-87.643118,Subscriber,Female,1995
8,6359,197,1133,936.0,86,Eckhart Park,41.89637337,-87.66098386,307,Southport Ave & Clybourn Ave,41.920771,-87.663712,Subscriber,Male,1987
9,1141,210,1824,"1,614.0",232,Pine Grove Ave & Waveland Ave,41.949275,-87.646303,304,Broadway & Waveland Ave,41.949074,-87.648636,Customer,,
10,3842,217,1830,"1,613.0",232,Pine Grove Ave & Waveland Ave,41.949275,-87.646303,304,Broadway & Waveland Ave,41.949074,-87.648636,Customer,,
11,3784,235,875,640.0,88,Racine Ave & Randolph St,41.884069,-87.656853,36,Franklin St & Jackson Blvd,41.877707956,-87.635321141,Subscriber,Male,1986
12,6167,243,1826,"1,583.0",232,Pine Grove Ave & Waveland Ave,41.949275,-87.646303,304,Broadway & Waveland Ave,41.949074,-87.648636,Customer,,
13,6192,246,1826,"1,580.0",232,Pine Grove Ave & Waveland Ave,41.949275,-87.646303,304,Broadway & Waveland Ave,41.949074,-87.648636,Customer,,
